PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	GAINOTTI, G; SILVERI, MC; DANIELE, A; GIUSTOLISI, L				Daniele, Antonio/I-4516-2012				NEUROANATOMICAL CORRELATES OF CATEGORY-SPECIFIC SEMANTIC DISORDERS - A CRITICAL SURVEY								MEMORY				3	3-4			247	+		10.1080/09658219508253153				SEP-DEC 1995	1995																		0965-8211			WOS:A1995TD97500002	8574866	
J	GERNSBACHER, MA; VARNER, KR; FAUST, ME					Faust, Mark/0000-0002-8573-0402; Gernsbacher, Morton Ann/0000-0003-0397-3329			INVESTIGATING DIFFERENCES IN GENERAL COMPREHENSION SKILL								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				16	3			430	445		10.1037/0278-7393.16.3.430				MAY 1990	1990																		0278-7393			WOS:A1990DB00100006	2140402	
J	GIBBS, RW								DO PEOPLE ALWAYS PROCESS THE LITERAL MEANINGS OF INDIRECT REQUESTS								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				9	3			524	533		10.1037/0278-7393.9.3.524				1983	1983																		0278-7393			WOS:A1983QW83400013		
J	GILDEN, D; BLAKE, R; HURST, G								NEURAL ADAPTATION OF IMAGINARY VISUAL-MOTION								COGNITIVE PSYCHOLOGY				28	1			1	16		10.1006/cogp.1995.1001				FEB 1995	1995																		0010-0285			WOS:A1995QG63400001	7895467	
J	GLASER, WR								PICTURE NAMING								COGNITION				42	1-3			61	105		10.1016/0010-0277(92)90040-O				MAR 1992	1992																		0010-0277			WOS:A1992HP34200003	1582161	
J	Glenberg, AM					Glenberg, Arthur/0000-0002-9281-3687			What memory is for								BEHAVIORAL AND BRAIN SCIENCES				20	1			1	&		10.1017/S0140525X97470012				MAR 1997	1997																		0140-525X			WOS:A1997XK22400001	10096994	
J	GLENBERG, AM; MEYER, M; LINDEM, K					Glenberg, Arthur/0000-0002-9281-3687			MENTAL MODELS CONTRIBUTE TO FOREGROUNDING DURING TEXT COMPREHENSION								JOURNAL OF MEMORY AND LANGUAGE				26	1			69	83		10.1016/0749-596X(87)90063-5				FEB 1987	1987																		0749-596X			WOS:A1987F761100005		
J	GOLDSTONE, R								INFLUENCES OF CATEGORIZATION ON PERCEPTUAL DISCRIMINATION								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL				123	2			178	200		10.1037/0096-3445.123.2.178				JUN 1994	1994																		0096-3445			WOS:A1994NL78300005	8014612	
J	Goldstone, RL; Barsalou, LW								Reuniting perception and conception								COGNITION				65	2-3			231	262		10.1016/S0010-0277(97)00047-4				JAN 1998	1998																		0010-0277	1873-7838		WOS:000072422500006	9557384	
J	GOULD, SJ								EXAPTATION - A CRUCIAL TOOL FOR AN EVOLUTIONARY PSYCHOLOGY								JOURNAL OF SOCIAL ISSUES				47	3			43	65		10.1111/j.1540-4560.1991.tb01822.x				FAL 1991	1991																		0022-4537	1540-4560		WOS:A1991GT06500005		
J	HALFF, HM; ORTONY, A; ANDERSON, RC								CONTEXT-SENSITIVE REPRESENTATION OF WORD MEANINGS								MEMORY & COGNITION				4	4			378	383		10.3758/BF03213193				1976	1976																		0090-502X			WOS:A1976CB99900006	21287378	
J	HARNAD, S				Harnad, Stevan R/A-1010-2008; Galantucci, Bruno/E-5770-2010	Harnad, Stevan/0000-0001-6153-1129			THE SYMBOL GROUNDING PROBLEM								PHYSICA D				42	1-3			335	346		10.1016/0167-2789(90)90087-6				JUN 1990	1990																		0167-2789			WOS:A1990DR77000026		
J	Heal, J								Simulation and cognitive penetrability								MIND & LANGUAGE				11	1			44	67		10.1111/j.1468-0017.1996.tb00028.x				MAR 1996	1996																		0268-1064			WOS:A1996UW16900002		
J	Heit, E; Barsalou, LW				Heit, Evan/B-1551-2010	Heit, Evan/0000-0003-3457-1816			The instantiation principle in natural categories								MEMORY				4	4			413	451		10.1080/096582196388915				JUL 1996	1996						Experimental-Psychology-Society ConferenceExperimental-Psychology-Society Conference	JAN, 1996JAN, 1996	Exptl Psychol SocExptl Psychol Soc	UNIV COLL LONDON, LONDON, ENGLANDUNIV COLL LONDON, LONDON, ENGLAND									0965-8211			WOS:A1996UY48400003	8817461	
J	Hespos, SJ; Rochat, P								Dynamic mental representation in infancy								COGNITION				64	2			153	188		10.1016/S0010-0277(97)00029-2				AUG 1997	1997																		0010-0277			WOS:A1997YD90700002	9385869	
J	HILLIS, AE; CARAMAZZA, A								COGNITIVE AND NEURAL MECHANISMS UNDERLYING VISUAL AND SEMANTIC PROCESSING - IMPLICATIONS FROM OPTIC APHASIA								JOURNAL OF COGNITIVE NEUROSCIENCE				7	4			457	478		10.1162/jocn.1995.7.4.457				FAL 1995	1995																		0898-929X			WOS:A1995TB02400004	23961905	
J	HUTTENLOCHER, J; JORDAN, NC; LEVINE, SC								A MENTAL MODEL FOR EARLY ARITHMETIC								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL				123	3			284	296		10.1037/0096-3445.123.3.284				SEP 1994	1994																		0096-3445			WOS:A1994PA32100004	7931093	
J	INTRAUB, H; HOFFMAN, JE					Hoffman, James/0000-0002-6788-5005			READING AND VISUAL MEMORY - REMEMBERING SCENES THAT WERE NEVER SEEN								AMERICAN JOURNAL OF PSYCHOLOGY				105	1			101	114		10.2307/1422983				SPR 1992	1992																		0002-9556			WOS:A1992HH90000005	1605323	
J	Intraub, H; Gottesman, CV; Bills, AJ								Effects of perceiving and imagining scenes on memory for pictures								JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				24	1			186	201		10.1037/0278-7393.24.1.186				JAN 1998	1998						36th Annual Meeting of the Psychonomic-Society36th Annual Meeting of the Psychonomic-Society	NOV   12, 1995NOV   12, 1995	Psychon SocPsychon Soc	LOS ANGELES, CALIFORNIALOS ANGELES, CALIFORNIA									0278-7393			WOS:000071392500010	9438959	
J	JACKENDOFF, R								ON BEYOND ZEBRA - THE RELATION OF LINGUISTIC AND VISUAL INFORMATION								COGNITION				26	2			89	114		10.1016/0010-0277(87)90026-6				JUL 1987	1987																		0010-0277			WOS:A1987J339200001	3652651	
J	JACOBY, LL; KELLEY, C; BROWN, J; JASECHKO, J								BECOMING FAMOUS OVERNIGHT - LIMITS ON THE ABILITY TO AVOID UNCONSCIOUS INFLUENCES OF THE PAST								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				56	3			326	338		10.1037/0022-3514.56.3.326				MAR 1989	1989																		0022-3514			WOS:A1989T518000002		
