Source,Target,Type,Appearance
"Lindenberg, S.","Müller, M.",Directed,1
"Lindenberg, S.","Tüscher, O.",Directed,1
"Jayawickreme, E.","Kalisch, R.",Directed,1
"Jayawickreme, E.","Müller, M.",Directed,1
"Jayawickreme, E.","Tüscher, O.",Directed,1
"Forgeard, M.","Kalisch, R.",Directed,1
"Forgeard, M.","Müller, M.",Directed,1
"Forgeard, M.","Tüscher, O.",Directed,1
"Blackie, L.","Kalisch, R.",Directed,1
"Blackie, L.","Müller, M.",Directed,1
"Blackie, L.","Tüscher, O.",Directed,1
"Juslin, P.","Kalisch, R.",Directed,1
"Juslin, P.","Müller, M.",Directed,1
"Juslin, P.","Tüscher, O.",Directed,1
"Kimbrel, N.","Kalisch, R.",Directed,1
"Kimbrel, N.","Müller, M.",Directed,1
"Kimbrel, N.","Tüscher, O.",Directed,1
"Beckham, J.","Kalisch, R.",Directed,1
"Beckham, J.","Müller, M.",Directed,1
"Beckham, J.","Tüscher, O.",Directed,1
"Kleim, B.","Kalisch, R.",Directed,1
"Kleim, B.","Müller, M.",Directed,1
"Kleim, B.","Tüscher, O.",Directed,1
"Galatzer-Levy, I.","Kalisch, R.",Directed,1
"Galatzer-Levy, I.","Müller, M.",Directed,1
"Galatzer-Levy, I.","Tüscher, O.",Directed,1
"Koole, S.","Kalisch, R.",Directed,1
"Koole, S.","Müller, M.",Directed,1
"Koole, S.","Tüscher, O.",Directed,1
"Schwager, S.","Kalisch, R.",Directed,1
"Schwager, S.","Müller, M.",Directed,1
"Schwager, S.","Tüscher, O.",Directed,1
"Rothermund, K.","Kalisch, R.",Directed,1
"Rothermund, K.","Müller, M.",Directed,1
"Rothermund, K.","Tüscher, O.",Directed,1
"Lau, J.","Kalisch, R.",Directed,1
"Lau, J.","Müller, M.",Directed,1
"Lau, J.","Tüscher, O.",Directed,1
"Levit-Binnun, N.","Kalisch, R.",Directed,1
"Levit-Binnun, N.","Müller, M.",Directed,1
"Levit-Binnun, N.","Tüscher, O.",Directed,1
"Golland, Y.","Kalisch, R.",Directed,1
"Golland, Y.","Müller, M.",Directed,1
"Golland, Y.","Tüscher, O.",Directed,1
"Luyten, L.","Kalisch, R.",Directed,1
"Luyten, L.","Müller, M.",Directed,1
"Luyten, L.","Tüscher, O.",Directed,1
"Boddez, Y.","Kalisch, R.",Directed,1
"Boddez, Y.","Müller, M.",Directed,1
"Boddez, Y.","Tüscher, O.",Directed,1
"Hermans, D.","Kalisch, R.",Directed,1
"Hermans, D.","Müller, M.",Directed,1
"Hermans, D.","Tüscher, O.",Directed,1
