Source, Target, Type, Appearance, TextLength
101161644, 221362631, Directed, 1, 2
176456355, 226087788, Directed, 1, 3
197241496, 216977824, Directed, 1, 10
209578129, 5175790, Directed, 1, 13
309826329, 221362631, Directed, 1, 2
218302089, 5175790, Directed, 1, 68
201611025, 307890529, Directed, 1, 3
216786807, 5175790, Directed, 1, 23
219048037, 307890529, Directed, 1, 3
315288395, 216977824, Directed, 1, 2
312011739, 226087788, Directed, 1, 2
323310825, 156249229, Directed, 1, 2
217802837, 5175790, Directed, 1, 2
320334274, 9720762, Directed, 1, 2
230604994, 219857448, Directed, 1, 0
231417817, 5175790, Directed, 1, 3
199798503, 506136, Directed, 1, 6
230364013, 106690213, Directed, 1, 4
177341780, 5175790, Directed, 1, 22
305531230, 5175790, Directed, 1, 7
219579795, 5175790, Directed, 1, 1
210469113, 221362631, Directed, 1, 2
214997456, 217250196, Directed, 2, 4
308925006, 122606440, Directed, 1, 1
213867688, 156249229, Directed, 1, 5
315578514, 320607677, Directed, 2, 5
102148121, 122606440, Directed, 2, 31
312498227, 106690213, Directed, 1, 5
313769996, 5175790, Directed, 1, 4
217121535, 221362631, Directed, 1, 2
202572531, 5175790, Directed, 1, 28
316393213, 202409492, Directed, 1, 6
309456812, 17268811, Directed, 1, 3
312335743, 5175790, Directed, 1, 26
213867688, 320132767, Directed, 1, 3
321859663, 223453350, Directed, 2, 228
225824491, 201792194, Directed, 1, 3
214526152, 200960556, Directed, 1, 0
102299871, 5175790, Directed, 1, 3
313141564, 221362631, Directed, 2, 4
146799149, 217250196, Directed, 1, 2
166467709, 122606440, Directed, 1, 2
190038624, 5175790, Directed, 4, 10
227535473, 221362631, Directed, 1, 2
231287505, 5175790, Directed, 2, 33
115940336, 307890529, Directed, 2, 6
215767245, 307890529, Directed, 1, 2
112576071, 221362631, Directed, 8, 26
220645774, 200960556, Directed, 1, 2
422616, 219312875, Directed, 1, 5
132938239, 122606440, Directed, 1, 1
231096701, 201886947, Directed, 1, 1
226440632, 223453350, Directed, 2, 14
213153405, 221362631, Directed, 1, 2
225780510, 225115021, Directed, 1, 14
301705300, 214943743, Directed, 2, 10
312205756, 307352867, Directed, 1, 9
216505228, 186697871, Directed, 1, 2
313295960, 300547087, Directed, 1, 12
123644757, 200960556, Directed, 1, 2
225160000, 221362631, Directed, 1, 2
311774473, 17268811, Directed, 1, 2
228556444, 214943743, Directed, 1, 2
1179815, 226087788, Directed, 1, 21
313032094, 5175790, Directed, 2, 40
113397376, 315948687, Directed, 1, 11
312409874, 221362631, Directed, 1, 1
197875180, 5175790, Directed, 1, 25
200324953, 221362631, Directed, 2, 4
316260318, 122606440, Directed, 2, 31
303342714, 5175790, Directed, 1, 7
221452563, 221362631, Directed, 1, 2
224980267, 219857448, Directed, 2, 7
303593004, 5175790, Directed, 1, 12
302029134, 201792194, Directed, 1, 8
158460878, 9720762, Directed, 1, 5
217929891, 221362631, Directed, 1, 2
6211066, 122606440, Directed, 1, 13
3340786, 132888108, Directed, 1, 5
178709304, 9720762, Directed, 1, 24
313661849, 5175790, Directed, 3, 6
216698617, 122606440, Directed, 2, 7
188023425, 122606440, Directed, 2, 19
199871086, 218607162, Directed, 1, 1
311236477, 5175790, Directed, 1, 2
222450432, 122606440, Directed, 1, 45
313299164, 5175790, Directed, 1, 17
304338211, 218656241, Directed, 1, 2
213328283, 122606440, Directed, 2, 38
202258546, 122606440, Directed, 1, 18
215858592, 5175790, Directed, 2, 71
5175790, 103992970, Directed, 1, 26
193013513, 310924113, Directed, 1, 3
226007621, 13670303, Directed, 3, 3
211251297, 221362631, Directed, 1, 2
156249229, 178543296, Directed, 1, 4
160389166, 200960556, Directed, 1, 3
310804487, 5175790, Directed, 1, 2
228081118, 221362631, Directed, 1, 2
214689266, 5175790, Directed, 1, 2
317950042, 5175790, Directed, 1, 27
210240941, 223453350, Directed, 1, 3
315156387, 5175790, Directed, 2, 217
122958456, 221362631, Directed, 1, 10
109511569, 221362631, Directed, 2, 4
321267558, 5175790, Directed, 3, 12
312983098, 5175790, Directed, 1, 5
301794557, 5175790, Directed, 1, 2
310243083, 221362631, Directed, 1, 2
303693454, 5175790, Directed, 2, 10
303838534, 5175790, Directed, 1, 11
226668234, 214943743, Directed, 3, 5
311583873, 5175790, Directed, 1, 41
308126314, 223453350, Directed, 1, 3
213209591, 221362631, Directed, 3, 5
188140991, 214943743, Directed, 1, 3
105338299, 307890529, Directed, 1, 3
211486888, 307890529, Directed, 1, 3
311060737, 221362631, Directed, 1, 2
304338211, 220032924, Directed, 1, 9
305122617, 122606440, Directed, 1, 10
311267162, 219031802, Directed, 1, 2
199873281, 5175790, Directed, 1, 25
128162667, 221362631, Directed, 1, 5
212635719, 201792194, Directed, 1, 2
308669184, 122606440, Directed, 1, 10
307064880, 323478197, Directed, 1, 28
230268021, 221362631, Directed, 2, 4
212095031, 5175790, Directed, 3, 72
3942618, 5175790, Directed, 1, 43
153545492, 307890529, Directed, 1, 3
225216803, 5175790, Directed, 1, 12
124072314, 189691274, Directed, 2, 29
312183689, 221362631, Directed, 1, 5
226887116, 214943743, Directed, 4, 4
304392380, 186181, Directed, 1, 3
225969811, 320632073, Directed, 1, 1
114363530, 221362631, Directed, 1, 2
227552449, 5175790, Directed, 1, 3
314515439, 5175790, Directed, 5, 219
310455373, 221362631, Directed, 1, 2
311195876, 5175790, Directed, 2, 8
184974010, 5175790, Directed, 1, 8
301592064, 221362631, Directed, 1, 2
315241954, 217688056, Directed, 1, 3
189348668, 130289216, Directed, 4, 4
186454984, 221362631, Directed, 1, 2
306108152, 308839537, Directed, 1, 11
217244234, 307890529, Directed, 1, 7
214758423, 122629508, Directed, 1, 2
231408561, 307890529, Directed, 1, 3
303905605, 1564491, Directed, 1, 3
422616, 216977824, Directed, 1, 6
216200586, 122606440, Directed, 1, 2
311220087, 221362631, Directed, 1, 2
132478589, 214756606, Directed, 1, 38
162205590, 221362631, Directed, 1, 2
314061314, 122606440, Directed, 1, 2
225209599, 5175790, Directed, 1, 3
214258754, 226087788, Directed, 2, 29
305278669, 221362631, Directed, 1, 2
123188944, 15294346, Directed, 1, 32
220441181, 226974030, Directed, 1, 1
311487356, 226087788, Directed, 1, 3
21462378, 214943743, Directed, 1, 1
216877451, 218607162, Directed, 1, 3
217867282, 214943743, Directed, 1, 2
300104474, 308839537, Directed, 3, 3
161687301, 221362631, Directed, 1, 2
124618714, 122606440, Directed, 1, 2
9736891, 217250196, Directed, 2, 8
214295793, 5175790, Directed, 1, 8
213105238, 221362631, Directed, 2, 4
229163771, 217250196, Directed, 2, 2
228020316, 221362631, Directed, 1, 2
212599090, 217250196, Directed, 1, 12
320151610, 9720762, Directed, 1, 2
225591165, 308839537, Directed, 1, 2
229550115, 5175790, Directed, 150, 300
304530893, 130289216, Directed, 1, 7
128370364, 128370364, Directed, 5, 15
322745015, 222764928, Directed, 1, 27
320404559, 5175790, Directed, 1, 2
317780126, 322569854, Directed, 1, 4
172672916, 221362631, Directed, 1, 2
305531222, 5175790, Directed, 1, 11
19411723, 186697871, Directed, 1, 2
309566958, 230700771, Directed, 2, 4
307500333, 221362631, Directed, 1, 2
190724408, 303779865, Directed, 1, 12
320662126, 5175790, Directed, 1, 2
15367273, 5175790, Directed, 1, 21
1361857, 221362631, Directed, 2, 9
221687613, 200960556, Directed, 1, 2
159050437, 221362631, Directed, 1, 2
313110698, 5175790, Directed, 1, 3
4721472, 226087788, Directed, 1, 6
216210358, 217250196, Directed, 1, 2
131006059, 5175790, Directed, 1, 35
130588478, 5175790, Directed, 1, 12
122552165, 200960556, Directed, 1, 14
122629508, 300776795, Directed, 1, 11
209779, 5175790, Directed, 1, 44
199743160, 221362631, Directed, 1, 2
315092733, 221362631, Directed, 1, 2
124078735, 5175790, Directed, 1, 188
229432567, 229432567, Directed, 3, 15
219850129, 5175790, Directed, 1, 91
175659180, 307890529, Directed, 2, 17
321859663, 12540892, Directed, 1, 12
306349593, 5175790, Directed, 1, 53
131750030, 214943743, Directed, 1, 2
198942584, 122629508, Directed, 1, 16
315929370, 5175790, Directed, 1, 3
311362308, 226087788, Directed, 1, 4
214934678, 221362631, Directed, 1, 2
321987601, 122606440, Directed, 1, 9
218931219, 122606440, Directed, 1, 6
202494489, 5175790, Directed, 1, 3
301417613, 20428657, Directed, 1, 2
231096701, 1203713, Directed, 2, 2
215401464, 216977824, Directed, 1, 2
220001894, 214943743, Directed, 1, 2
221388322, 122606440, Directed, 16, 33
209810870, 5175790, Directed, 2, 21
9986340, 5175790, Directed, 1, 20
200007027, 221362631, Directed, 1, 2
228668259, 17268811, Directed, 1, 2
323166489, 222764928, Directed, 2, 12
231445578, 5175790, Directed, 1, 2
187586238, 221362631, Directed, 1, 2
306307578, 122606440, Directed, 1, 2
201358780, 221362631, Directed, 1, 2
217873942, 221362631, Directed, 1, 2
214191165, 9720762, Directed, 2, 23
228230927, 5175790, Directed, 1, 29
123268640, 5175790, Directed, 2, 25
217603602, 221362631, Directed, 1, 8
323303303, 186697871, Directed, 1, 1
4628321, 5175790, Directed, 1, 14
223270608, 201792194, Directed, 1, 3
309007282, 150574401, Directed, 1, 4
305604812, 211669292, Directed, 1, 2
159369362, 5175790, Directed, 1, 16
303905605, 5175790, Directed, 1, 15
2749138, 221362631, Directed, 2, 3
222447639, 13670303, Directed, 1, 2
133661225, 216977824, Directed, 2, 6
230293978, 216977824, Directed, 12, 60
311103130, 122606440, Directed, 1, 10
315205006, 221362631, Directed, 1, 2
169267370, 152017605, Directed, 1, 20
230312497, 320261145, Directed, 2, 2
217997129, 214943743, Directed, 1, 2
105124718, 5939410, Directed, 1, 35
222065786, 221362631, Directed, 1, 2
217556178, 122606440, Directed, 1, 33
226887116, 130289216, Directed, 1, 3
216798201, 9720762, Directed, 1, 2
315773014, 122606440, Directed, 2, 34
214752333, 5175790, Directed, 1, 73
215942243, 220426784, Directed, 1, 6
84808, 214943743, Directed, 1, 11
212957967, 186697871, Directed, 2, 4
131155996, 214943743, Directed, 1, 2
218256560, 5175790, Directed, 2, 12
231096701, 122606440, Directed, 24, 31
215517564, 211669292, Directed, 2, 12
194484388, 5175790, Directed, 1, 2
218529009, 5175790, Directed, 2, 25
211047574, 5175790, Directed, 1, 3
212825620, 5175790, Directed, 1, 5
304181990, 200960556, Directed, 2, 5
225667490, 221362631, Directed, 4, 8
319186296, 5175790, Directed, 1, 2
225532179, 5175790, Directed, 3, 33
311664334, 215397603, Directed, 1, 8
215148597, 221362631, Directed, 1, 2
222254476, 5175790, Directed, 1, 11
305047667, 310012754, Directed, 1, 9
19295821, 216023857, Directed, 1, 23
227799446, 316260318, Directed, 1, 13
219666276, 221362631, Directed, 1, 2
193337582, 150574401, Directed, 1, 27
304181990, 226087788, Directed, 3, 8
213804586, 122606440, Directed, 1, 15
226099846, 5175790, Directed, 1, 28
153395183, 221362631, Directed, 1, 0
311485106, 5175790, Directed, 1, 3
438526, 221362631, Directed, 2, 3
187726415, 9720762, Directed, 1, 2
302763885, 221362631, Directed, 1, 6
319427762, 5175790, Directed, 1, 2
5110228, 217250196, Directed, 1, 2
196893691, 219857448, Directed, 2, 4
313295639, 221362631, Directed, 1, 7
7415016, 221362631, Directed, 1, 1
3200625, 5175790, Directed, 1, 72
11293356, 217250196, Directed, 1, 4
222514089, 9720762, Directed, 1, 2
212256685, 122606440, Directed, 1, 33
103427819, 5175790, Directed, 1, 10
210202127, 221362631, Directed, 1, 2
321918347, 212202455, Directed, 1, 2
302747147, 221362631, Directed, 1, 2
231096701, 224980267, Directed, 1, 1
119969560, 218607162, Directed, 2, 4
20040333, 216977824, Directed, 1, 2
214461505, 5175790, Directed, 1, 5
8491791, 5175790, Directed, 1, 16
300470918, 5175790, Directed, 1, 106
231610692, 215860574, Directed, 1, 6
222890543, 5175790, Directed, 1, 7
218422477, 223453350, Directed, 1, 34
315279127, 221362631, Directed, 3, 10
119176365, 209764064, Directed, 1, 2
195825833, 226087788, Directed, 2, 11
230886417, 221537002, Directed, 2, 7
223412506, 5175790, Directed, 4, 67
224947220, 5175790, Directed, 1, 2
215351987, 13670303, Directed, 1, 2
2536852, 221362631, Directed, 1, 1
215800387, 221362631, Directed, 2, 4
219155979, 225164460, Directed, 1, 18
213533611, 5175790, Directed, 1, 6
112759396, 226087788, Directed, 1, 3
221537002, 122606440, Directed, 1, 14
303582473, 5175790, Directed, 1, 2
214898764, 221362631, Directed, 1, 2
187982633, 221362631, Directed, 2, 4
192028178, 122606440, Directed, 1, 6
209492531, 5175790, Directed, 2, 23
225282360, 221362631, Directed, 2, 4
101078780, 221362631, Directed, 1, 2
212226907, 9720762, Directed, 1, 5
169550372, 5175790, Directed, 1, 2
221671126, 106690213, Directed, 1, 4
224721812, 5175790, Directed, 1, 10
311194900, 106690213, Directed, 1, 2
304973278, 9720762, Directed, 1, 4
212204663, 221362631, Directed, 1, 2
310187399, 5175790, Directed, 5, 172
171455386, 214943743, Directed, 2, 4
213036074, 221362631, Directed, 1, 2
115384130, 221362631, Directed, 1, 2
154640110, 5175790, Directed, 1, 7
225408280, 219857448, Directed, 1, 6
314614667, 221362631, Directed, 1, 2
216582232, 156249229, Directed, 1, 2
306152556, 13670303, Directed, 4, 13
228699602, 5175790, Directed, 1, 1
319441429, 193098267, Directed, 1, 2
308990746, 226087788, Directed, 1, 19
227672626, 214943743, Directed, 1, 3
309813987, 5175790, Directed, 1, 58
300140325, 122606440, Directed, 1, 3
21230616, 221362631, Directed, 1, 1
312566488, 5175790, Directed, 1, 3
188140991, 197484424, Directed, 1, 20
227850335, 5175790, Directed, 1, 28
310949937, 122606440, Directed, 1, 2
315314473, 221362631, Directed, 3, 59
307177875, 13670303, Directed, 1, 2
182993, 217250196, Directed, 1, 4
309019378, 5175790, Directed, 1, 6
230783556, 307890529, Directed, 1, 3
212201236, 215942243, Directed, 1, 11
197567079, 5175790, Directed, 2, 23
223960814, 221362631, Directed, 1, 2
308910253, 223491046, Directed, 2, 4
211656205, 221362631, Directed, 1, 2
137134718, 224980267, Directed, 1, 10
2710645, 221362631, Directed, 1, 2
220270955, 122606440, Directed, 1, 12
215163556, 218607162, Directed, 1, 1
228349609, 226087788, Directed, 1, 3
311025877, 320607677, Directed, 1, 1
220420280, 221362631, Directed, 7, 16
214176488, 5175790, Directed, 1, 6
173026310, 9720762, Directed, 1, 5
188807857, 200960556, Directed, 1, 8
302342619, 5175790, Directed, 1, 37
225412328, 221362631, Directed, 2, 4
10521074, 221362631, Directed, 1, 2
304289868, 221362631, Directed, 3, 6
303322733, 219155979, Directed, 1, 1
225842933, 221362631, Directed, 1, 2
230540146, 226087788, Directed, 2, 44
213707207, 214943743, Directed, 5, 10
101371113, 218607162, Directed, 1, 3
230293978, 122606440, Directed, 69, 345
197186142, 221362631, Directed, 1, 7
214809008, 122606440, Directed, 2, 2
16729255, 221362631, Directed, 1, 2
313525743, 17268811, Directed, 1, 20
311179222, 5175790, Directed, 4, 142
228603019, 226087788, Directed, 1, 12
4151337, 221362631, Directed, 1, 2
309515197, 223453350, Directed, 1, 7
